word,translation,example,level
der Beamte,"чиновник, государственный служащий (мужчина)",Der Beamte prüfte sorgfältig alle Unterlagen.,B1
der Tipp,совет,Kannst du mir einen guten Tipp für ein Restaurant in der Nähe geben?,A2
schrecklich,"ужасный, страшный","Das Wetter war heute schrecklich, es hat den ganzen Tag geregnet.",A2
der Wind,ветер,"Der Wind weht heute so stark, dass man kaum laufen kann.",A1
die Beratung,"консультация, совет",Für komplexe rechtliche Fragen ist eine professionelle Beratung unerlässlich.,B1
haltbar,годный к употреблению,Dieses Joghurt ist noch bis nächste Woche haltbar.,B2
der Respekt,уважение,"Man sollte immer anderen Menschen mit Respekt begegnen, unabhängig von ihrer Herkunft oder ihrem sozialen Status.",B1
übersetzen,переводить (текст),Können Sie mir diesen Satz ins Englische übersetzen?,A2
die Bluse,блузка,Sie trug eine elegante weiße Bluse zu ihrem Rock.,A1
die Leistung,"достижение, производительность",Seine sportliche Leistung war beeindruckend.,B1
die Sprache,язык,"Es ist wichtig, die Landessprache zu lernen, wenn man im Ausland lebt.",A1
ebenso,"так же, подобно",Er spricht fließend Englisch und ebenso gut Französisch.,A2
das Ziel,цель,"Wir haben uns das Ziel gesetzt, bis zum Jahresende mehr Sport zu treiben.",A2
stehen,стоять,Er steht gerne am Fenster und beobachtet die Leute.,A1
der König,король,Der König regierte sein Land mit Weisheit und Gerechtigkeit.,A2
meist,большинство,Die meisten Leute waren mit der Entscheidung zufrieden.,A2
das Schloss,замок,Das alte Schloss thront majestätisch auf dem Hügel.,A2
die Mehrwertsteuer,налог на добавленную стоимость,Der Preis beinhaltet die Mehrwertsteuer.,B1
besetzt,занят,Leider ist das Telefon gerade besetzt.,A2
der Besuch,"визит, посещение",Wir freuen uns auf den Besuch unserer Familie am Wochenende.,A1
die Entschuldigung,извинение,Er bat sie aufrichtig um Entschuldigung für sein Verhalten.,A1
neben,рядом,Das Geschäft ist neben der Post.,A1
das Café,кафе,Wir treffen uns morgen früh in unserem Lieblingscafé auf einen Kaffee.,A1
groß,большой,"Das Haus, in dem sie wohnt, ist sehr groß und hat einen schönen Garten.",A1
die Gebühr,"плата, сбор, пошлина",Für die Nutzung des Parkplatzes muss eine Gebühr bezahlt werden.,B1
die Fußgängerzone,пешеходная зона,"Die Innenstadt wurde zur Fußgängerzone umgestaltet, um mehr Aufenthaltsqualität zu schaffen.",A2
sich kümmern,заботиться,Die Eltern kümmern sich liebevoll um ihre Kinder.,A2
die Schokolade,шоколад,Nach dem anstrengenden Tag gönne ich mir ein Stück Schokolade.,A1
künstlich,искусственный,Viele moderne Materialien sind künstlich hergestellt.,B1
die Ausfahrt,"выезд, съезд (с автострады)",Die nächste Ausfahrt von der Autobahn ist in etwa zwei Kilometern.,A2
die Bankomat-karte,банкоматная карта,Ich habe meine Bankomat-Karte zu Hause vergessen und kann jetzt kein Geld abheben.,A2
das Auge,глаз,"Sie hat blaue Augen, die sehr ausdrucksstark sind.",A1
schwierig,"трудный, сложный","Die Prüfung war sehr schwierig, aber ich habe sie bestanden.",A2
bemühen,"стараться, прилагать усилия","Er bemüht sich sehr, seine Sprachkenntnisse zu verbessern.",B1
der Mond,луна,In der Nacht leuchtete der volle Mond hell am Himmel.,A1
erklären,объяснять,Der Lehrer erklärte den Schülern die schwierige Grammatikregel.,A2
das Benzin,бензин,Der Preis für das Benzin ist in den letzten Wochen stark gestiegen.,A2
die Sendung,"передача (телевизионная, радио)",Ich habe gestern Abend eine interessante Dokumentation im Fernsehen gesehen.,A2
wir,мы,Wir treffen uns morgen um zehn Uhr.,A1
die Banane,банан,Eine Banane ist ein gesunder Snack für zwischendurch.,A1
der Gegensatz,"контраст, противоположность",Der Gegensatz zwischen Arm und Reich ist in vielen Städten deutlich sichtbar.,B1
oft,часто,"Sie geht oft ins Kino, um neue Filme zu sehen.",A1
die Mülltonne,мусорный бак,Bitte stellen Sie die Mülltonne morgen früh zur Abholung bereit.,A2
beide,оба,Beide Bücher sind sehr interessant.,A1
durcheinander,"беспорядок, вперемешку",Nach der Party war das ganze Haus ein einziges Durcheinander.,B1
greifen,хватать,"Sei vorsichtig, wenn du das heiße Metall greifst.",B1
die Familie,семья,"Meine Familie ist mir sehr wichtig, und wir verbringen viel Zeit miteinander.",A1
vorstellen,представлять,Darf ich Ihnen meinen neuen Kollegen vorstellen?,A2
hoch,высокий,Der Berg ist sehr hoch und steil.,A1
von,от,Das Geschenk ist von meiner Tante.,A1
der Comic,комикс,Als Kind habe ich gerne Comics gelesen und die bunten Bilder bewundert.,A2
der Stiefel,ботинок,Im Winter trage ich warme Stiefel.,A2
der Bauer,"крестьянин, фермер",Der Bauer erntet sein Getreide im Herbst.,A2
schicken,"посылать, отправлять",Ich werde dir das Paket morgen schicken.,A1
der Geburtsort,место рождения,Mein Geburtsort ist eine kleine Stadt im Süden.,A1
etwas,"что-то, немного",Ich möchte gerne etwas trinken.,A1
die Eigenschaft,"свойство, качество, характеристика",Geduld ist eine wichtige Eigenschaft für einen Lehrer.,B1
die Pfanne,сковорода,Sie brät das Gemüse in einer heißen Pfanne an.,A1
zum,"к, на, в (предлог)","Wir gehen heute Abend zum Kino, um einen neuen Film zu sehen.",A1
böse,злой,"Sei nicht böse, es war nur ein Scherz.",A2
enthalten,содержать,Diese Frucht enthält viele Vitamine.,B1
einheitlich,единый,Das Unternehmen hat eine einheitliche Kleiderordnung für alle Mitarbeiter eingeführt.,B2
der Friede,мир,Nach vielen Jahren des Konflikts hoffen die Menschen auf dauerhaften Friede.,B1
der Topf,горшок,Sie stellte die neue Pflanze in einen größeren Topf mit frischer Erde.,A1
alt,старый,Mein Großvater hat viele alte Bücher gesammelt.,A1
einzeln,отдельный,Jeder Mitarbeiter erhält eine individuelle Bewertung seiner Leistungen.,B1
der Notausgang,запасной выход,"Bitte halten Sie den Notausgang stets frei, um im Notfall schnell fliehen zu können.",A2
lieb,"дорогой, милый","Liebe Freunde, ich freue mich, euch alle hier zu sehen.",A1
fast,почти,Das Konzert war fast ausverkauft.,A2
die Kasse,касса,An der Kasse bildete sich eine lange Schlange.,A1
die Meldung,"сообщение, извещение",Wir haben eine dringende Meldung vom Wetterdienst erhalten.,A2
nah,близкий,Der Park ist ganz nah an unserem Haus.,A2
die Kamera,камера,Mit dieser neuen Kamera kann ich hochauflösende Fotos und Videos aufnehmen.,A1
melden,сообщать,"Bitte melden Sie sich am Empfang, wenn Sie ankommen.",A2
angemessen,"уместный, подходящий","Die Kleidung, die du zu der Feier trägst, ist sehr angemessen.",B2
die Toilette,туалет,"Entschuldigen Sie bitte, wo ist die nächste Toilette?",A1
das Fenster,окно,"Bitte schließe das Fenster, es zieht.",A1
das Getränk,напиток,Zum Essen bestellten wir ein erfrischendes Getränk.,A1
die Ausnahme,исключение,"Diese Regel hat eine Ausnahme, die man beachten muss.",B1
deswegen,поэтому,"Es regnet stark, deswegen bleiben wir heute zu Hause.",A2
der Gruß,"приветствие, поздравление",Ich sende dir herzliche Grüße aus dem Urlaub.,A1
unbedingt,обязательно,Du solltest diesen Film unbedingt sehen.,A2
beenden,заканчивать,Wir müssen die Arbeit bis morgen beenden.,A2
behindern,"мешать, препятствовать","Der starke Regen begann, unseren Fortschritt zu behindern.",B1
die Begründung,"обоснование, мотивировка",Die Jury benötigte eine klare Begründung für die Entscheidung.,B1
viel,много,"Ich habe heute viel zu tun, deshalb kann ich dir erst später helfen.",A1
das Menü,меню,Die Kellnerin brachte uns die Speisekarte mit dem Tagesmenü.,A1
die Baustelle,строительная площадка,Auf der Baustelle wird rund um die Uhr gearbeitet.,A2
die Nacht,ночь,"In der Nacht wurde ein lautes Geräusch gehört, das alle aufweckte.",A1
spazieren,гулять,Wir gehen jeden Abend nach dem Abendessen spazieren.,A1
die Flüssigkeit,жидкость,Man sollte täglich ausreichend Flüssigkeit zu sich nehmen.,B1
super,отлично,"Das Konzert war super, ich habe es sehr genossen.",A1
der Blick,взгляд,"Ihr Blick war voller Neugier, als sie die neue Ausstellung betrachtete.",A2
die Alternative,альтернатива,Gibt es noch eine andere Alternative zu diesem Vorschlag?,B1
auspacken,распаковывать,Nach der Reise muss ich noch meine Koffer auspacken.,A2
herausfinden,выяснить,"Wir müssen herausfinden, wer den Fehler gemacht hat.",B1
verschieden,различный,"Es gibt viele verschiedene Wege, dieses Problem zu lösen.",A2
dafür,за это,Sie hat sich sehr für die Idee ausgesprochen und viele Argumente dafür geliefert.,A2
die Pizza,пицца,Am Freitagabend bestellen wir uns oft eine Pizza und schauen einen Film.,A1
zum beispiel,например,"Es gibt viele Möglichkeiten, Geld zu sparen, zum Beispiel durch den Verzicht auf unnötige Ausgaben.",A2
der Sohn,сын,Mein Sohn hat heute seine erste Prüfung an der Universität.,A1
die Portion,порция,"Die Portion war sehr groß, ich konnte sie kaum aufessen.",A2
wesentlich,существенный,Die wesentlichen Punkte des Problems wurden bereits besprochen.,B2
der Cousin,двоюродный брат,Mein Cousin besucht uns nächste Woche.,A1
der Sport,спорт,Regelmäßiger Sport ist gut für die Gesundheit und das Wohlbefinden.,A1
der Titel,название,Der Autor hat einen sehr interessanten Titel für sein neues Buch gewählt.,A2
entwickeln,"развивать, разрабатывать",Die Firma entwickelt neue Software für den Markt.,B1
weich,мягкий,Der neue Teppich ist sehr weich unter den Füßen.,A2
alltäglich,повседневный,Kleine Gesten der Freundlichkeit können den Alltag schöner machen.,B1
der Donnerstag,четверг,Am Donnerstag findet die Konferenz statt.,A1
der Koffer,чемодан,Ich packe meinen Koffer für den Urlaub am Meer.,A1
die Einfahrt,"подъезд, въезд",Bitte parken Sie Ihr Auto nicht vor der Einfahrt.,A2
klagen,жаловаться,"Er klagt oft über seine Arbeit, aber er unternimmt nichts dagegen.",B2
der Fauteuil,кресло,Er saß bequem in seinem alten Fauteuil und las ein Buch.,B2
einverstanden,согласен,"Wenn du damit einverstanden bist, können wir den Plan sofort umsetzen.",A2
beschränken,ограничивать,Wir müssen unsere Ausgaben auf das Nötigste beschränken.,B2
präsentieren,"представлять, презентовать",Sie wird ihre Forschungsergebnisse auf der Konferenz präsentieren.,B1
kämpfen,бороться,"Man muss für seine Ziele kämpfen, um sie zu erreichen.",B1
befinden,"находиться, чувствовать себя",Wie befinden Sie sich heute?,B1
die Nummer,номер,Können Sie mir bitte Ihre Telefonnummer geben?,A1
das Pflaster,"пластырь, мостовая",Nach dem Sturz klebte sie sich ein Pflaster auf die Wunde.,A2
der Stress,стресс,Zu viel Arbeit kann zu Stress führen.,A2
klingeln,звонить,Das Telefon klingelt ununterbrochen.,A2
die Disco,дискотека,Die Musik in der Disco war sehr laut.,A1
die Reaktion,реакция,Die unerwartete Reaktion des Publikums auf die Ankündigung war sehr positiv.,B1
das Datum,дата,Bitte schreiben Sie das heutige Datum auf das Formular.,A1
die Gaststätte,"ресторан, заведение общественного питания",Wir haben in einer gemütlichen Gaststätte zu Abend gegessen.,A2
das Restaurant,ресторан,"Wir haben uns entschieden, heute Abend in einem italienischen Restaurant zu Abend zu essen.",A1
die Führung,экскурсия; руководство; лидерство,Wir haben an einer spannenden Führung durch das historische Museum teilgenommen.,B1
vielleicht,возможно,"Vielleicht gehen wir heute Abend ins Kino, wenn das Wetter gut ist.",A1
das Mittel,"средство, метод",Wir suchen nach einem wirksamen Mittel gegen diese Krankheit.,B1
die Briefmarke,почтовая марка,Klebe die Briefmarke oben rechts auf den Umschlag.,A1
das Poulet,курица (блюдо),Zum Abendessen gab es gebratenes Poulet mit Kartoffeln und einem frischen Salat.,A2
der Balkon,балкон,Auf unserem Balkon wachsen viele schöne Blumen.,A1
gefallen,нравиться,Die neue Frisur gefällt mir sehr gut.,A2
der Dollar,доллар,Der Preis für das Buch beträgt 20 Dollar.,A1
körperlich,физический,Die Arbeit im Garten ist oft körperlich sehr anstrengend.,B1
einzig,единственный,Dieses Kunstwerk ist einzigartig und hat einen unschätzbaren Wert.,B1
abfahren,"отправляться, съезжать",Der Zug nach Berlin fährt um 10:30 Uhr vom Gleis 5 ab.,A2
die Gelegenheit,"возможность, случай","Das ist eine ausgezeichnete Gelegenheit, um neue Leute kennenzulernen.",B1
das Thema,тема,Das Thema der heutigen Diskussion ist der Klimawandel und seine Auswirkungen.,A2
die Galerie,галерея,Die Kunstgalerie zeigt Werke lokaler Künstler.,A2
der Ausflug,"поездка, экскурсия",Am Wochenende planen wir einen Ausflug in die Berge.,A1
der Käufer,покупатель,Der Käufer war mit dem Preis des Autos sehr zufrieden.,A2
der Wunsch,желание,"Ich habe einen großen Wunsch, einmal die Welt zu bereisen.",A2
ideal,идеальный,Diese Wohnung ist ideal für eine kleine Familie.,B2
der Nachbar,сосед,"Der Nachbar hat uns freundlich gegrüßt, als wir im Garten arbeiteten.",A1
